Name,Alternate Name,Position,Team,Minutes,Age,Height,Weight,Offensive Role,Perimeter Shot,Grade,Off-Ball Movement,Grade,One on One,Grade,Finishing,Grade,Roll Gravity,Grade,Playmaking,Grade,Post Play,Grade,Perimeter Defense,Grade,Interior Defense,Grade,OReb,Grade,DReb,Grade,Usage,Grade,Self Creation,Grade,Year,Advanced Position
Andre Drummond,Andre Drummond,C,DET,"2,619",20,10-Jun,270,Glue Guys,0.21,D-,0.599,C+,0.368,D+,0.993,A,1,A,0.152,F,0.555,C+,0.405,C-,0.803,A-,0.998,A,0.981,A,0.652,Medium,0.1438,Low,2013-14,Big
Corey Brewer,Corey Brewer,SF,MIN,"2,609",28,9-Jun,185,Glue Guys,0.546,C+,0.347,D+,0.85,A-,0.771,B+,0.524,C,0.593,C+,0.85,A-,0.682,B,0.321,D,0.35,D+,0.518,C,0.653,Medium,0.1227,Low,2013-14,Wing
Evan Turner,Evan Turner,SF,PHI,"2,606",25,7-Jun,220,Secondary Creators,0.573,C+,0.439,C-,0.877,A-,0.63,B-,0.447,C-,0.916,A,0.751,B+,0.428,C-,0.254,D-,0.292,D,0.673,B,0.843,Medium,0.4818,Medium,2013-14,Wing
Shawn Marion,Shawn Marion,SF,DAL,"2,602",36,7-Jun,228,Glue Guys,0.643,B-,0.574,C+,0.42,C-,0.821,A-,0.723,B,0.39,D+,0.457,C-,0.466,C,0.573,C+,0.669,B,0.683,B,0.638,Medium,0.1403,Low,2013-14,Wing
Tristan Thompson,Tristan Thompson,PF,CLE,"2,594",23,9-Jun,238,Versatile Bigs,0.174,F,0.593,C+,0.95,A,0.597,C+,0.963,A,0.096,F,0.663,B,0.337,D,0.345,D+,0.836,A-,0.863,A-,0.699,Medium,0.3003,Medium,2013-14,Wing
DeMarre Carroll,DeMarre Carroll,SF,ATL,"2,587",27,8-Jun,212,Tall Spot-up Wings,0.774,B+,0.632,B-,0.659,B-,0.815,A-,0.753,B+,0.624,B-,0.647,B-,0.749,B+,0.56,C+,0.683,B,0.727,B,0.61,Medium,0.1803,Low,2013-14,Wing
Gerald Henderson,Gerald Henderson,SG,CHO,"2,580",26,5-Jun,215,Tall Creators,0.641,B-,0.875,A-,0.832,A-,0.484,C,0.692,B,0.513,C,0.337,D,0.603,B-,0.577,C+,0.093,F,0.764,B+,0.823,Medium,0.4712,Medium,2013-14,Wing
Boris Diaw,Boris Diaw,PF,SAS,"2,578",32,8-Jun,250,Versatile Bigs,0.778,B+,0.588,C+,0.896,A-,0.867,A-,0.584,C+,0.918,A,0.919,A,0.331,D,0.644,B-,0.48,C,0.443,C-,0.67,Medium,0.294,Medium,2013-14,Wing
Jodie Meeks,Jodie Meeks,SG,LAL,"2,556",26,4-Jun,208,Spot-up Wings,0.971,A,0.615,B-,0.811,A-,0.675,B,0.561,C+,0.662,B,0.397,D+,0.694,B,0.282,D,0.166,F,0.128,F,0.738,Medium,0.1957,Low,2013-14,Guard
Arron Afflalo,Arron Afflalo,SG,ORL,"2,552",28,5-Jun,215,Movement Wings,0.994,A,0.954,A,0.946,A,0.353,D+,0.52,C,0.927,A,0.888,A-,0.383,D+,0.177,F,0.11,F,0.588,C+,0.877,High,0.4521,Medium,2013-14,Wing
Rudy Gay,Rudy Gay,SF,SAC,"2,531",27,8-Jun,230,Tall Creators,0.662,B,0.36,D+,0.96,A,0.98,A,0.815,A-,0.83,A-,0.963,A,0.569,C+,0.588,C+,0.64,B-,0.857,A-,0.914,High,0.6445,High,2013-14,Wing
Josh McRoberts,Josh McRoberts,PF,CHO,"2,514",27,10-Jun,240,Pick + Pop Bigs,0.753,B+,0.57,C+,0.545,C+,0.512,C,0.911,A,0.945,A,0.767,B+,0.487,C,0.57,C+,0.516,C,0.311,D,0.665,Medium,0.149,Low,2013-14,Big
