Name,Alternate Name,Position,Team,Minutes,Age,Height,Weight,Offensive Role,Perimeter Shot,Grade,Off-Ball Movement,Grade,One on One,Grade,Finishing,Grade,Roll Gravity,Grade,Playmaking,Grade,Post Play,Grade,Perimeter Defense,Grade,Interior Defense,Grade,OReb,Grade,DReb,Grade,Usage,Grade,Self Creation,Grade,Year,Advanced Position
Davis Bertans,Davis Bertans,PF,SAS,920,24,10-Jun,210,Spot-up Wings,0.872,A-,0.925,A,0.265,D,0.418,C-,0.508,C,0.165,F,0.229,D-,0.483,C,0.756,B+,0.548,C+,0.119,F,0.269,Low,0.0374,Low,2016-17,Wing
Salah Mejri,Salah Mejri,C,DAL,905,31,2-Jul,245,Roll + Cut Bigs,0.169,F,0.698,B,0.26,D-,0.832,A-,0.956,A,0.068,F,0.879,A-,0.52,C,0.97,A,0.961,A,0.953,A,0.155,Low,0.0544,Low,2016-17,Big
Aaron Brooks,Aaron Brooks,PG,IND,901,32,6-0,161,Primary Creators,0.837,A-,0.729,B,0.5,C,0.204,D-,0.123,F,0.917,A,0.185,F,0.46,C-,0.209,D-,0.515,C,0.298,D,0.497,Low,0.6522,High,2016-17,Guard
Michael Carter-Williams,Michael Carter-Williams,PG,CHI,899,25,6-Jun,190,Secondary Creators,0.371,D+,0.529,C,0.46,C-,0.345,D+,0.402,C-,0.9,A-,0.338,D,0.73,B,0.808,A-,0.532,C,0.807,A-,0.621,Medium,0.4804,Medium,2016-17,Guard
Mike Dunleavy,Mike Dunleavy,SF,ATL,894,36,9-Jun,230,Movement Wings,0.825,A-,0.965,A,0.313,D,0.338,D,0.365,D+,0.487,C,0,F,0.385,D+,0.651,B-,0.304,D,0.279,D,0.269,Low,0.081,Low,2016-17,Wing
JaVale McGee,JaVale McGee,C,GSW,888,29,7-0,270,Glue Guys,0.146,F,0.402,C-,0.317,D,0.922,A,0.96,A,0.188,F,0.788,B+,0.337,D,0.856,A-,0.994,A,0.782,B+,0.38,Low,0.1272,Low,2016-17,Big
Jeremy Lin,Jeremy Lin,PG,BRK,883,28,3-Jun,200,Primary Creators,0.784,B+,0.808,A-,0.602,B-,0.347,D+,0.11,F,0.784,B+,0.66,B,0.659,B-,0.815,A-,0.15,F,0.55,C+,0.812,Medium,0.658,High,2016-17,Guard
Lavoy Allen,Lavoy Allen,PF,IND,882,28,9-Jun,260,Glue Guys,0.12,F,0.74,B,0.123,F,0.456,C-,0.525,C,0.379,D+,0,F,0.359,D+,0.746,B+,0.979,A,0.653,B-,0.214,Low,0.0507,Low,2016-17,Big
Pascal Siakam,Pascal Siakam,PF,TOR,869,23,9-Jun,230,Glue Guys,0.198,F,0.608,B-,0.571,C+,0.542,C+,0.871,A-,0.046,F,0.758,B+,0.533,C,0.822,A-,0.92,A,0.585,C+,0.236,Low,0.1211,Low,2016-17,Big
Ron Baker,Ron Baker,SG,NYK,857,24,4-Jun,220,Secondary Creators,0.419,C-,0.269,D,0.333,D,0.294,D,0.348,D+,0.871,A-,0.452,C-,0.671,B,0.803,A-,0.261,D,0.507,C,0.432,Low,0.483,Medium,2016-17,Wing
Derrick Williams,Derrick Williams,PF,MIA,842,26,8-Jun,240,Pick + Pop Bigs,0.47,C,0.933,A,0.779,B+,0.298,D,0.544,C+,0.194,F,0.873,A-,0.28,D,0.178,F,0.507,C,0.682,B,0.384,Low,0.1646,Low,2016-17,Big
Juan Hernangomez,Juancho Hernangomez,PF,DEN,842,21,9-Jun,230,Tall Spot-up Wings,0.814,A-,0.794,B+,0.069,F,0.464,C,0.173,F,0.123,F,0.794,B+,0.44,C-,0.509,C,0.676,B,0.93,A,0.247,Low,0.0654,Low,2016-17,Wing
Wesley Johnson,Wesley Johnson,SF,LAC,821,29,7-Jun,215,Tall Spot-up Wings,0.414,C-,0.233,D-,0.135,F,0.191,F,0.558,C+,0.027,F,0.294,D,0.601,B-,0.655,B-,0.579,C+,0.791,B+,0.186,Low,0.0502,Low,2016-17,Wing
Spencer Hawes,Spencer Hawes,PF,CHO,814,29,1-Jul,245,Pick + Pop Bigs,0.445,C-,0.646,B-,0.563,C+,0.748,B+,0.665,B,0.848,A-,0,F,0.179,F,0.619,B-,0.628,B-,0.875,A-,0.459,Low,0.1696,Low,2016-17,Big
Ramon Sessions,Ramon Sessions,PG,CHO,811,31,3-Jun,190,Primary Creators,0.53,C,0.244,D-,0.742,B+,0.279,D,0.194,F,0.837,A-,0,F,0.671,B,0.373,D+,0.175,F,0.522,C,0.567,Medium,0.5909,High,2016-17,Guard
Ed Davis,Ed Davis,PF,POR,789,28,10-Jun,245,Roll + Cut Bigs,0.002,F,0.671,B,0.14,F,0.502,C,0.879,A-,0.205,D-,0.683,B,0.367,D+,0.87,A-,0.967,A,0.754,B+,0.245,Low,0.0424,Low,2016-17,Big
Tyreke Evans,Tyreke Evans,SF,NOP,788,27,6-Jun,220,Primary Creators,0.66,B-,0.721,B,0.613,B-,0.443,C-,0.231,D-,0.967,A,0.548,C+,0.786,B+,0.363,D+,0.144,F,0.897,A-,0.727,Medium,0.6882,High,2016-17,Wing
Joel Embiid,Joel Embiid,C,PHI,786,23,7-0,250,Versatile Bigs,0.715,B,0.835,A-,0.908,A,0.735,B,0.925,A,0.907,A,0.64,B-,0.552,C+,0.997,A,0.815,A-,0.977,A,0.871,High,0.5044,High,2016-17,Big
DeAndre Liggins,DeAndre Liggins,SG,CLE,777,29,6-Jun,209,Spot-up Wings,0.522,C,0.283,D,0.296,D,0.237,D-,0.354,D+,0.466,C,0.479,C,0.696,B,0.236,D-,0.569,C+,0.528,C,0.178,Low,0.2719,Medium,2016-17,Guard
Tyus Jones,Tyus Jones,PG,MIN,774,21,2-Jun,195,Primary Creators,0.619,B-,0.158,F,0.431,C-,0.181,F,0.154,F,0.875,A-,0,F,0.805,A-,0.137,F,0.193,F,0.402,C-,0.371,Low,0.5057,High,2016-17,Guard
J.J. Barea,J.J. Barea,PG,DAL,771,33,6-0,185,Primary Creators,0.781,B+,0.508,C,0.775,B+,0.315,D,0.175,F,0.982,A,0.16,F,0.546,C+,0.267,D,0.17,F,0.54,C+,0.776,Medium,0.7688,High,2016-17,Guard
Tomas Satoransky,Tomas Satoransky,SG,WAS,755,25,7-Jun,210,Secondary Creators,0.33,D,0.848,A-,0.725,B,0.158,F,0.269,D,0.664,B,0.677,B,0.731,B,0.771,B+,0.534,C,0.072,F,0.247,Low,0.4328,Medium,2016-17,Guard
Hollis Thompson,Hollis Thompson,SG,PHI,752,26,8-Jun,206,Spot-up Wings,0.606,B-,0.427,C-,0.454,C-,0.227,D-,0.371,D+,0.265,D,0,F,0.49,C,0.365,D+,0.552,C+,0.575,C+,0.251,Low,0.0722,Low,2016-17,Wing
Anthony Morrow,Anthony Morrow,SG,OKC,743,31,5-Jun,210,Spot-up Wings,0.524,C,0.842,A-,0.823,A-,0.092,F,0.273,D,0.195,F,0,F,0.503,C,0.517,C,0.413,C-,0.092,F,0.278,Low,0.1145,Low,2016-17,Wing
Jodie Meeks,Jodie Meeks,SG,ORL,738,29,4-Jun,210,Movement Wings,0.897,A-,0.454,C-,0.683,B,0.103,F,0.183,F,0.72,B,0.119,F,0.644,B-,0.463,C,0.066,F,0.53,C,0.478,Low,0.0992,Low,2016-17,Wing
Gerald Green,Gerald Green,SF,BOS,730,31,7-Jun,205,Movement Wings,0.649,B-,0.919,A,0.706,B,0.496,C,0.392,D+,0.312,D,0.61,B-,0.467,C,0.139,F,0.501,C,0.649,B-,0.393,Low,0.2824,Medium,2016-17,Wing
Trey Burke,Trey Burke,PG,WAS,723,24,1-Jun,191,Primary Creators,0.86,A-,0.752,B+,0.408,C-,0.179,F,0.142,F,0.69,B,0.163,F,0.435,C-,0.144,F,0.142,F,0.115,F,0.483,Low,0.6351,High,2016-17,Guard
Alan Williams,Alan Williams,C,PHO,708,24,8-Jun,260,Versatile Bigs,0.089,F,0.285,D,0.085,F,0.66,B-,0.831,A-,0.227,D-,0.644,B-,0.42,C-,0.96,A,0.975,A,0.867,A-,0.441,Low,0.2172,Low,2016-17,Big
Rodney Stuckey,Rodney Stuckey,PG,IND,696,31,5-Jun,205,Primary Creators,0.548,C+,0.394,D+,0.883,A-,0.244,D-,0.106,F,0.894,A-,0,F,0.379,D+,0.385,D+,0.224,D-,0.723,B,0.609,Medium,0.6059,High,2016-17,Guard
Kris Humphries,Kris Humphries,PF,ATL,692,32,9-Jun,235,Pick + Pop Bigs,0.551,C+,0.254,D-,0.438,C-,0.319,D,0.442,C-,0.264,D,0,F,0.316,D,0.865,A-,0.799,B+,0.737,B,0.358,Low,0.0606,Low,2016-17,Big
Isaiah Canaan,Isaiah Canaan,SG,CHI,687,26,6-0,201,Secondary Creators,0.425,C-,0.115,F,0.729,B,0.334,D,0.225,D-,0.432,C-,0,F,0.7,B,0.207,D-,0.117,F,0.207,D-,0.307,Low,0.4065,Medium,2016-17,Wing
Roy Hibbert,Roy Hibbert,C,CHO,682,30,2-Jul,270,Versatile Bigs,0.002,F,0.592,C+,0.1,F,0.817,A-,0.602,B-,0.081,F,0,F,0.203,D-,0.968,A,0.749,B+,0.415,C-,0.215,Low,0.3344,Medium,2016-17,Big
Thon Maker,Thon Maker,C,MIL,678,20,1-Jul,223,Pick + Pop Bigs,0.746,B+,0.585,C+,0.496,C,0.468,C,0.906,A,0.271,D,0.763,B+,0.415,C-,0.9,A,0.733,B,0.363,D+,0.272,Low,0.0821,Low,2016-17,Big
Chandler Parsons,Chandler Parsons,SF,MEM,675,28,10-Jun,230,Spot-up Wings,0.431,C-,0.404,C-,0.354,D+,0.296,D,0.369,D+,0.611,B-,0.827,A-,0.544,C+,0.258,D-,0.049,F,0.752,B+,0.466,Low,0.3613,Medium,2016-17,Wing
Alec Burks,Alec Burks,SG,UTA,653,25,6-Jun,214,Secondary Creators,0.528,C,0.769,B+,0.798,B+,0.216,D-,0.313,D,0.433,C-,0.281,D,0.646,B-,0.454,C-,0.563,C+,0.821,A-,0.472,Low,0.4724,Medium,2016-17,Guard
Jakob Poeltl,Jakob Poeltl,C,TOR,652,21,7-0,230,Roll + Cut Bigs,0.002,F,0.556,C+,0.246,D-,0.626,B-,0.858,A-,0.036,F,0.752,B+,0.507,C,0.87,A-,0.977,A,0.595,C+,0.15,Low,0.0372,Low,2016-17,Big
Omri Casspi,Omri Casspi,PF,SAC,643,29,9-Jun,225,Tall Spot-up Wings,0.454,C-,0.281,D,0.379,D+,0.538,C,0.694,B,0.199,F,0.325,D,0.539,C,0.188,F,0.7,B,0.425,C-,0.343,Low,0.0416,Low,2016-17,Wing
Darrell Arthur,Darrell Arthur,PF,DEN,639,29,9-Jun,235,Pick + Pop Bigs,0.911,A,0.715,B,0.167,F,0.2,F,0.667,B,0.496,C,0.69,B,0.444,C-,0.751,B+,0.571,C+,0.544,C+,0.401,Low,0.0667,Low,2016-17,Big
Justise Winslow,Justise Winslow,SF,MIA,625,21,7-Jun,225,Tall Creators,0.315,D,0.648,B-,0.44,C-,0.275,D,0.548,C+,0.887,A-,0.635,B-,0.605,B-,0.712,B,0.446,C-,0.306,D,0.694,Medium,0.4614,Medium,2016-17,Wing
Ian Mahinmi,Ian Mahinmi,C,WAS,618,30,11-Jun,262,Roll + Cut Bigs,0.002,F,0.579,C+,0.2,F,0.571,C+,0.844,A-,0.09,F,0.965,A,0.583,C+,0.911,A,0.825,A-,0.893,A-,0.296,Low,0.2045,Low,2016-17,Big
Kevin Seraphin,Kevin Seraphin,PF,IND,618,27,10-Jun,278,Versatile Bigs,0.142,F,0.517,C,0.102,F,0.784,B+,0.506,C,0.364,D+,0,F,0.249,D-,0.799,B+,0.85,A-,0.846,A-,0.317,Low,0.3092,Medium,2016-17,Big
Jose Calderon,Jose Calderon,PG,LAL,614,35,3-Jun,200,Secondary Creators,0.505,C,0.21,D-,0.238,D-,0.349,D+,0.215,D-,0.927,A,0.194,F,0.59,C+,0.167,F,0.649,B-,0.48,C,0.387,Low,0.4419,Medium,2016-17,Guard
Skal Labissière,Skal Labissiere,PF,SAC,612,21,11-Jun,225,Versatile Bigs,0.239,D-,0.392,D+,0.469,C,0.679,B,0.185,F,0.397,D+,0,F,0.525,C,0.281,D,0.879,A-,0.789,B+,0.514,Low,0.3382,Medium,2016-17,Wing
Ivica Zubac,Ivica Zubac,C,LAL,609,20,1-Jul,240,Roll + Cut Bigs,0.144,F,0.527,C,0.088,F,0.498,C,0.846,A-,0.309,D,0.958,A,0.245,D-,0.813,A-,0.669,B,0.456,C-,0.484,Low,0.1742,Low,2016-17,Big
Tyler Zeller,Tyler Zeller,C,BOS,603,27,7-0,253,Roll + Cut Bigs,0.093,F,0.694,B,0.235,D-,0.519,C,0.748,B+,0.446,C-,0.481,C,0.252,D-,0.822,A-,0.871,A-,0.353,D+,0.253,Low,0.0626,Low,2016-17,Big
Tyler Ennis,Tyler Ennis,PG,HOU,588,22,3-Jun,194,Primary Creators,0.771,B+,0.173,F,0.652,B-,0.374,D+,0.35,D+,0.842,A-,0.125,F,0.722,B,0.409,C-,0.216,D-,0.283,D,0.44,Low,0.7196,High,2016-17,Guard
Alexis Ajinca,Alexis Ajinca,C,NOP,584,29,2-Jul,248,Roll + Cut Bigs,0.109,F,0.39,D+,0.41,C-,0.723,B,0.642,B-,0.064,F,0.448,C-,0.375,D+,0.267,D,0.813,A-,0.639,B-,0.332,Low,0.085,Low,2016-17,Big
Andrew Bogut,Andrew Bogut,C,DAL,583,32,7-0,260,Glue Guys,0.124,F,0.117,F,0.06,F,0.37,D+,0.856,A-,0.311,D,0.694,B,0.326,D,0.873,A-,0.828,A-,0.99,A,0.292,Low,0.154,Low,2016-17,Big
Brandon Bass,Brandon Bass,PF,LAC,581,32,8-Jun,250,Versatile Bigs,0.186,F,0.788,B+,0.35,D+,0.767,B+,0.685,B,0.22,D-,0,F,0.391,D+,0.132,F,0.801,A-,0.579,C+,0.331,Low,0.3062,Medium,2016-17,Big
Troy Williams,Troy Williams,SF,MEM,576,22,7-Jun,210,Spot-up Wings,0.433,C-,0.317,D,0.406,C-,0.408,C-,0.363,D+,0.398,D+,0.327,D,0.706,B,0.717,B,0.388,D+,0.222,D-,0.36,Low,0.2206,Low,2016-17,Wing
Marcus Thornton,Marcus Thornton,SG,WAS,575,30,4-Jun,205,Secondary Creators,0.697,B,0.348,D+,0.863,A-,0.393,D+,0.302,D,0.399,D+,0,F,0.5,C,0.375,D+,0.706,B,0.45,C-,0.428,Low,0.3746,Medium,2016-17,Wing
Dragan Bender,Dragan Bender,PF,PHO,574,19,1-Jul,225,Tall Spot-up Wings,0.421,C-,0.123,F,0.273,D,0.288,D,0.533,C,0.138,F,0.604,B-,0.389,D+,0.616,B-,0.713,B,0.454,C-,0.238,Low,0.113,Low,2016-17,Big
Jarell Martin,Jarell Martin,PF,MEM,568,23,10-Jun,239,Glue Guys,0.351,D+,0.521,C,0.421,C-,0.252,D-,0.752,B+,0.07,F,0.502,C,0.595,C+,0.628,B-,0.786,B+,0.887,A-,0.261,Low,0.1261,Low,2016-17,Big
Beno Udrih,Beno Udrih,PG,DET,560,34,3-Jun,205,Primary Creators,0.392,D+,0.465,C,0.704,B,0.504,C,0.09,F,0.959,A,0,F,0.336,D,0.274,D,0.097,F,0.645,B-,0.559,Medium,0.7439,High,2016-17,Guard
Thomas Robinson,Thomas Robinson,PF,LAL,560,26,10-Jun,237,Glue Guys,0.097,F,0.515,C,0.894,A-,0.901,A,0.617,B-,0.423,C-,0,F,0.536,C,0.378,D+,0.992,A,0.881,A-,0.406,Low,0.2191,Low,2016-17,Big
Shabazz Napier,Shabazz Napier,PG,POR,559,25,1-Jun,175,Primary Creators,0.728,B,0.669,B,0.377,D+,0.187,F,0.171,F,0.87,A-,0,F,0.691,B,0.195,F,0.185,F,0.38,D+,0.415,Low,0.5975,High,2016-17,Guard
Quincy Acy,Quincy Acy,PF,BRK,558,26,7-Jun,240,Pick + Pop Bigs,0.823,A-,0.217,D-,0.51,C,0.151,F,0.808,A-,0.061,F,0.829,A-,0.448,C-,0.656,B-,0.585,C+,0.68,B,0.344,Low,0.0708,Low,2016-17,Big
Derrick Jones Jr.,Derrick Jones,SF,PHO,545,20,7-Jun,190,Glue Guys,0.237,D-,0.413,C-,0.352,D+,0.815,A-,0.381,D+,0.1,F,0,F,0.534,C,0.516,C,0.875,A-,0.154,F,0.179,Low,0.0984,Low,2016-17,Wing
Delon Wright,Delon Wright,PG,TOR,538,25,5-Jun,190,Primary Creators,0.365,D+,0.175,F,0.456,C-,0.447,C-,0.413,C-,0.655,B-,0.279,D,0.87,A-,0.627,B-,0.626,B-,0.341,D+,0.442,Low,0.7039,High,2016-17,Guard
Cole Aldrich,Cole Aldrich,C,MIN,531,28,11-Jun,250,Roll + Cut Bigs,0.002,F,0.767,B+,0.115,F,0.569,C+,0.702,B,0.133,F,0.638,B-,0.52,C,0.261,D,0.893,A-,0.936,A,0.094,Low,0.0904,Low,2016-17,Big
Nicolas Brussino,Nicolas Brussino,SG,DAL,521,24,8-Jun,215,Movement Wings,0.472,C,0.3,D,0.196,F,0.16,F,0.102,F,0.682,B,0.3,D,0.461,C,0.405,C-,0.83,A-,0.63,B-,0.242,Low,0.1946,Low,2016-17,Wing
James Michael McAdoo,James Michael McAdoo,PF,GSW,513,24,9-Jun,240,Roll + Cut Bigs,0.227,D-,0.238,D-,0.192,F,0.639,B-,0.754,B+,0.163,F,0.581,C+,0.481,C,0.755,B+,0.782,B+,0.129,F,0.179,Low,0.1207,Low,2016-17,Big
Dejounte Murray,Dejounte Murray,PG,SAS,490,20,5-Jun,170,Primary Creators,0.386,D+,0.235,D-,0.483,C,0.351,D+,0.321,D,0.621,B-,0,F,0.831,A-,0.148,F,0.257,D-,0.125,F,0.402,Low,0.5626,High,2016-17,Guard
Miles Plumlee,Miles Plumlee,C,MIL,484,28,11-Jun,249,Roll + Cut Bigs,0.002,F,0.179,F,0.142,F,0.235,D-,0.89,A-,0.185,F,0.54,C,0.507,C,0.803,A-,0.805,A-,0.066,F,0.162,Low,0.192,Low,2016-17,Big
Omer Asik,Omer Asik,C,NOP,482,30,7-0,255,Glue Guys,0.002,F,0.446,C-,0,F,0.248,D-,0.798,B+,0.139,F,0.431,C-,0.166,F,0.663,B,0.926,A,0.879,A-,0.156,Low,0.0247,Low,2016-17,Big
Donatas Motiejunas,Donatas Motiejunas,PF,NOP,479,26,7-0,222,Pick + Pop Bigs,0.361,D+,0.344,D+,0.269,D,0.431,C-,0.41,C-,0.57,C+,0,F,0.418,C-,0.089,F,0.791,B+,0.483,C,0.366,Low,0.1463,Low,2016-17,Big
Okaro White,Okaro White,PF,MIA,471,24,8-Jun,204,Tall Spot-up Wings,0.396,D+,0.315,D,0.138,F,0.17,F,0.594,C+,0.277,D,0.385,D+,0.309,D,0.467,C,0.797,B+,0.246,D-,0.162,Low,0.1371,Low,2016-17,Wing
Rashad Vaughn,Rashad Vaughn,SG,MIL,468,20,6-Jun,202,Movement Wings,0.546,C+,0.319,D,0.254,D-,0.208,D-,0.138,F,0.203,D-,0,F,0.647,B-,0.615,B-,0.078,F,0.497,C,0.229,Low,0.1509,Low,2016-17,Guard
Reggie Bullock,Reggie Bullock,SF,DET,467,26,7-Jun,205,Movement Wings,0.755,B+,0.906,A,0.117,F,0.282,D,0.275,D,0.382,D+,0.296,D,0.802,A-,0.466,C,0.598,C+,0.811,A-,0.207,Low,0.0751,Low,2016-17,Wing
Cameron Payne,Cameron Payne,PG,OKC,466,22,3-Jun,185,Primary Creators,0.487,C,0.383,D+,0.392,D+,0.095,F,0.113,F,0.75,B+,0,F,0.62,B-,0.2,D-,0.039,F,0.398,D+,0.514,Low,0.5523,High,2016-17,Guard
Luis Scola,Luis Scola,PF,BRK,461,37,9-Jun,241,Versatile Bigs,0.501,C,0.131,F,0.127,F,0.889,A-,0.554,C+,0.405,C-,0,F,0.323,D,0.558,C+,0.945,A,0.696,B,0.378,Low,0.1969,Low,2016-17,Big
Brandan Wright,Brandan Wright,PF,MEM,459,29,10-Jun,210,Roll + Cut Bigs,0.134,F,0.6,C+,0.181,F,0.769,B+,0.931,A,0.23,D-,0.823,A-,0.441,C-,0.837,A-,0.784,B+,0.185,F,0.302,Low,0.109,Low,2016-17,Big
Jeff Withey,Jeff Withey,C,UTA,453,27,7-0,231,Roll + Cut Bigs,0.101,F,0.86,A-,0.096,F,0.534,C,0.663,B,0.047,F,0.5,C,0.412,C-,0.793,B+,0.943,A,0.109,F,0.152,Low,0.0173,Low,2016-17,Big
Kevon Looney,Kevon Looney,C,GSW,447,21,9-Jun,220,Glue Guys,0.223,D-,0.448,C-,0.173,F,0.67,B,0.765,B+,0.32,D,0.371,D+,0.61,B-,0.704,B,0.899,A-,0.694,B,0.159,Low,0.0906,Low,2016-17,Big
Jordan Crawford,Jordan Crawford,SG,NOP,442,28,5-Jun,195,Primary Creators,0.786,B+,0.165,F,0.917,A,0.796,B+,0.085,F,0.947,A,0.754,B+,0.419,C-,0.1,F,0.152,F,0.187,F,0.675,Medium,0.5394,High,2016-17,Wing
Wade Baldwin,Wade Baldwin IV,PG,MEM,417,21,4-Jun,202,Primary Creators,0.278,D,0.046,F,0.381,D+,0.168,F,0.152,F,0.761,B+,0.508,C,0.563,C+,0.477,C,0.316,D,0.189,F,0.417,Low,0.5969,High,2016-17,Guard
Brian Roberts,Brian Roberts,PG,CHO,416,31,1-Jun,173,Primary Creators,0.654,B-,0.188,F,0.277,D,0.08,F,0.088,F,0.754,B+,0,F,0.38,D+,0.167,F,0.099,F,0.485,C,0.349,Low,0.5664,High,2016-17,Guard
James Jones,James Jones,SF,CLE,411,36,8-Jun,218,Spot-up Wings,0.868,A-,0.354,D+,0.338,D,0.042,F,0.319,D,0.044,F,0,F,0.235,D-,0.716,B,0.055,F,0.045,F,0.117,Low,0.1377,Low,2016-17,Wing
Sasha Vujacic,Sasha Vujacic,SG,NYK,408,33,7-Jun,195,Movement Wings,0.493,C,0.121,F,0.175,F,0.055,F,0.056,F,0.839,A-,0,F,0.555,C+,0.337,D,0.452,C-,0.647,B-,0.303,Low,0.3056,Medium,2016-17,Wing
Raul Neto,Raul Neto,PG,UTA,406,25,1-Jun,179,Secondary Creators,0.367,D+,0.129,F,0.396,D+,0.788,B+,0.202,D-,0.665,B,0,F,0.801,A-,0.544,C+,0.109,F,0.146,F,0.203,Low,0.4,Medium,2016-17,Guard
David Nwaba,David Nwaba,SG,LAL,397,24,4-Jun,209,Glue Guys,0.188,F,0.704,B,0.492,C,0.689,B,0.488,C,0.207,D-,0.769,B+,0.74,B+,0.256,D-,0.526,C,0.641,B-,0.203,Low,0.2361,Low,2016-17,Wing
Kyle Singler,Kyle Singler,SF,OKC,395,29,8-Jun,228,Spot-up Wings,0.324,D,0.525,C,0.306,D,0.586,C+,0.127,F,0.048,F,0.31,D,0.354,D+,0.566,C+,0.431,C-,0.411,C-,0.12,Low,0.071,Low,2016-17,Wing
Toney Douglas,Toney Douglas,PG,MEM,394,31,2-Jun,195,Primary Creators,0.338,D,0.606,B-,0.24,D-,0.271,D,0.108,F,0.9,A,0,F,0.536,C,0.391,D+,0.702,B,0.76,B+,0.467,Low,0.5034,High,2016-17,Guard
Kay Felder,Kay Felder,PG,CLE,386,22,9-May,176,Primary Creators,0.322,D,0.113,F,0.544,C+,0.29,D,0.208,D-,0.814,A-,0,F,0.658,B-,0.369,D+,0.043,F,0.37,D+,0.426,Low,0.7816,High,2016-17,Guard
Jordan McRae,Jordan McRae,SG,CLE,384,26,5-Jun,179,Secondary Creators,0.666,B,0.313,D,0.685,B,0.221,D-,0.283,D,0.197,F,0,F,0.249,D-,0.428,C-,0.127,F,0.224,D-,0.32,Low,0.4404,Medium,2016-17,Guard
Darrun Hilliard,Darrun Hilliard,SG,DET,381,24,6-Jun,205,Secondary Creators,0.375,D+,0.098,F,0.538,C,0.155,F,0.075,F,0.557,C+,0.198,F,0.561,C+,0.433,C-,0.082,F,0.511,C,0.306,Low,0.4053,Medium,2016-17,Guard
Josh McRoberts,Josh McRoberts,PF,MIA,381,30,10-Jun,240,Pick + Pop Bigs,0.515,C,0.198,F,0.225,D-,0.441,C-,0.477,C,0.931,A,0.527,C,0.309,D,0.348,D+,0.747,B+,0.378,D+,0.493,Low,0.174,Low,2016-17,Wing
Paul Pierce,Paul Pierce,SF,LAC,378,39,7-Jun,235,,0.52,C,0.054,F,0.304,D,0.059,F,0.338,D,0.105,F,0,F,0.245,D-,0.155,F,0.035,F,0.686,B,0.171,Low,0.1892,Low,2016-17,Wing
DeAndre Bembry,DeAndre' Bembry,SF,ATL,371,22,6-Jun,210,Glue Guys,0.254,D-,0.252,D-,0.219,D-,0.473,C,0,F,0.513,C,0,F,0.511,C,0.39,D+,0.489,C,0.589,C+,0.189,Low,0.2074,Low,2016-17,Wing
Bryn Forbes,Bryn Forbes,SG,SAS,358,23,3-Jun,190,Spot-up Wings,0.485,C,0.075,F,0.154,F,0.015,F,0.16,F,0.389,D+,0,F,0.334,D,0.258,D-,0.053,F,0.111,F,0.217,Low,0.2592,Medium,2016-17,Guard
Georgios Papagiannis,Georgios Papagiannis,C,SAC,355,19,1-Jul,240,Versatile Bigs,0.148,F,0.152,F,0.025,F,0.895,A-,0.79,B+,0.439,C-,0.523,C,0.203,D-,0.696,B,0.856,A-,0.819,A-,0.332,Low,0.3248,Medium,2016-17,Big
Andrew Nicholson,Andrew Nicholson,PF,WAS,342,27,9-Jun,250,Versatile Bigs,0.297,D,0.35,D+,0.271,D,0.695,B,0.448,C-,0.038,F,0,F,0.44,C-,0.431,C-,0.606,B-,0.107,F,0.212,Low,0.2966,Medium,2016-17,Big
Wayne Selden,Wayne Selden,SG,MEM,342,22,5-Jun,230,Movement Wings,0.313,D,0.202,D-,0.444,C-,0.267,D,0.167,F,0.542,C+,0,F,0.517,C,0.522,C,0.033,F,0.07,F,0.245,Low,0.1884,Low,2016-17,Wing
Pat Connaughton,Pat Connaughton,SG,POR,340,24,5-Jun,210,Spot-up Wings,0.612,B-,0.092,F,0.223,D-,0.426,C-,0.263,D,0.739,B,0.258,D-,0.506,C,0.51,C,0.6,C+,0.624,B-,0.16,Low,0.2071,Low,2016-17,Wing
Maurice Ndour,Maurice Ndour,PF,NYK,331,25,9-Jun,200,Glue Guys,0.212,D-,0.223,D-,0.16,F,0.62,B-,0.492,C,0.153,F,0,F,0.599,C+,0.769,B+,0.721,B,0.351,D+,0.17,Low,0.1408,Low,2016-17,Wing
Fred VanVleet,Fred VanVleet,PG,TOR,323,23,6-0,195,Primary Creators,0.441,C-,0.242,D-,0.258,D-,0.256,D-,0.221,D-,0.609,B-,0,F,0.858,A-,0.34,D+,0.14,F,0.692,B,0.321,Low,0.6584,High,2016-17,Guard
Damjan Rudez,Damjan Rudez,SF,ORL,314,31,10-Jun,228,Pick + Pop Bigs,0.466,C,0.088,F,0.077,F,0.057,F,0.36,D+,0.264,D,0,F,0.442,C-,0.068,F,0.366,D+,0.156,F,0.136,Low,0.0588,Low,2016-17,Wing
Alan Anderson,Alan Anderson,SF,LAC,308,34,6-Jun,220,Secondary Creators,0.495,C,0.081,F,0.638,B-,0.546,C+,0.069,F,0.058,F,0,F,0.314,D,0.037,F,0.047,F,0.121,F,0.131,Low,0.3614,Medium,2016-17,Wing
Sheldon McClellan,Sheldon Mac,SG,WAS,304,24,6-Jun,200,Secondary Creators,0.318,D,0.296,D,0.504,C,0.099,F,0,F,0.136,F,0,F,0.519,C,0.426,C-,0.09,F,0.384,D+,0.168,Low,0.3571,Medium,2016-17,Guard
